geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1001,-23.54929199999999,-46.633559478233785
1012,-23.54045127670386,-46.64357021994928
1014,-23.542520789115148,-46.63533516134283
1020,-23.544207,-46.63628100000001
1021,-23.546717843181977,-46.639356584107475
1022,-23.546462574239737,-46.64014529975756
1023,-23.545361513938843,-46.6346895341229
1024,-23.539256528997672,-46.63344052553524
1026,-23.54636265277865,-46.63367640091752
1031,-23.540111706359266,-46.63701681043339
1032,-23.5524824521322,-46.62938955675458
1035,-23.545781968088136,-46.64137663364873
1037,-23.54894236222835,-46.6375916208613
1039,-23.523774841248738,-46.64429744783303
1040,-23.533271539269446,-46.65410023535694
1041,-23.530684798776626,-46.65301712891686
1042,-23.526318626406702,-46.67121817317798
1044,-23.532411876767274,-46.65612364224707
1046,-23.53246939661836,-46.65648682737028
1047,-23.531219067718872,-46.639737147094486
1050,-23.53246939661836,-46.65648682737028
1122,-23.52736344186041,-46.637355222170974
1123,-23.539337475993985,-46.628994222170974
1125,-23.521835102573426,-46.66428988130433
1126,-23.51819009287688,-46.66547750384322
1127,-23.528071016648425,-46.64063416152123
1129,-23.53153924340701,-46.636045685123214
1131,-23.54499336358131,-46.65968022344037
1134,-23.54467160343472,-46.65713680171736
1139,-23.537871115182643,-46.65463932361936
1140,-23.537648829303517,-46.64423621371684
1150,-23.53661029753589,-46.660541709965926
1152,-23.54613154316459,-46.65326102415025
1153,-23.537361918456263,-46.65445004492168
1156,-23.54164848542905,-46.65280486372555
1201,-23.53713640521669,-46.64009698972822
1202,-23.547472365803014,-46.65581219455826
1203,-23.535485873997327,-46.6473975874257
1206,-23.544210918402662,-46.65294255107045
1207,-23.54495144379365,-46.68830695060298
1208,-23.538425112412682,-46.64503764418032
1209,-23.53622282653356,-46.65857364363205
1210,-23.54497695504639,-46.65318246003805
1212,-23.54294434805807,-46.65793705274388
1214,-23.533010790178288,-46.64680897807146
1215,-23.54655474271452,-46.64902242728947
1216,-23.540770174014696,-46.68037022384439
1218,-23.54700770829249,-46.656870721478484
1219,-23.538570034970284,-46.6597117456287
1220,-23.550877813203343,-46.662288102833394
1222,-23.543770485140577,-46.6485429970858
1223,-23.536062953372944,-46.659531158895476
1224,-23.54248095999793,-46.67732383199128
1225,-23.53649866250217,-46.66068125728546
1226,-23.547773692480803,-46.658320721622715
1227,-23.543724897310838,-46.66694175339034
1229,-23.543830561746248,-46.646089994171604
1230,-23.54913419095159,-46.654197422701856
1233,-23.55447878389617,-46.6388230860881
1234,-23.553624184574947,-46.65969919845339
1235,-23.554889476542243,-46.64957878795658
1238,-23.55952701165675,-46.65061529724743
1239,-23.562565575076466,-46.64908296003806
1241,-23.55074576686477,-46.63829204330881
1242,-23.557144672773948,-46.65480964738296
1243,-23.5617525,-46.640457
1244,-23.570476072162265,-46.64379257992389
1252,-23.56469826144042,-46.65244211420167
1253,-23.56591354261634,-46.646207061486464
1254,-23.564058328062767,-46.64562177352986
1255,-23.554782439638714,-46.65316315084542
1257,-23.56284091840267,-46.646709815021026
1258,-23.55435617124473,-46.65443401027178
1303,-23.55426484041201,-46.640491538028705
1306,-23.557288698319226,-46.66118365182906
1307,-23.561264556754605,-46.6565542389636
1308,-23.554899607825046,-46.65974270621502
1309,-23.555106524006014,-46.651454780454756
1310,-23.55217998335159,-46.64771822952856
1311,-23.56739662669517,-46.64604387774822
1312,-23.56228065528881,-46.647753259651395
1313,-23.5601136150384,-46.64278512960936
1314,-23.552249584511518,-46.65042397599397
1315,-23.550348341392965,-46.647234990420685
1316,-23.55303785429048,-46.651787099082476
1317,-23.55253332056094,-46.65098522898028
1319,-23.56054933389114,-46.66140940313922
1320,-23.5672684021776,-46.68490776931483
1321,-23.574978408823377,-46.68413302553523
1322,-23.56241731112588,-46.6700518179352
1323,-23.56864171717929,-46.66458348029314
1327,-23.551840037191976,-46.65455309547579
1329,-23.56886913765944,-46.65149232569684
1331,-23.567884941716184,-46.65964980391252
1332,-23.566065370794664,-46.65858241381504
1333,-23.56642907937563,-46.65443435123206
1401,-23.55573822147848,-46.66118186747647
1403,-23.560375295314174,-46.660622762969616
1405,-23.58406691212703,-46.66998067037748
1406,-23.563440952824692,-46.65080185108783
1408,-23.557924424923534,-46.66436865889549
1409,-23.56077124285875,-46.65925008909916
1410,-23.563089691644073,-46.66450451304173
1411,-23.57164409241737,-46.6539635173409
1415,-23.57733244823706,-46.6817544590571
1416,-23.565847893415715,-46.65511269372154
1417,-23.55756762086679,-46.665033678746546
1420,-23.570810444514546,-46.69077501106554
1421,-23.555864357752927,-46.66335852637194
1422,-23.57832308687745,-46.669984669715525
1423,-23.58259922952855,-46.687347094090825
1424,-23.569168441860427,-46.65293130336428
1425,-23.570206679987308,-46.637724253534536
1429,-23.57217083764206,-46.61872917762138
1442,-23.56284740383172,-46.62391126354653
1445,-23.56797936303305,-46.62041230875997
1448,-23.554043402995,-46.62898801333022
1450,-23.578732183189963,-46.612792226470134
1451,-23.58238522009349,-46.615642690259115
1452,-23.571591087425706,-46.62841876617226
1453,-23.56722896808813,-46.615417360118855
1454,-23.55974894226445,-46.63339939771486
1455,-23.5758539553062,-46.61950625214959
1456,-23.554184563419696,-46.63044134624039
1503,-23.56308749070916,-46.633900064948904
1505,-23.570889349154573,-46.63505281418429
1508,-23.5591884476888,-46.61485962698363
1509,-23.579565496249085,-46.61874947155058
1511,-23.57165819401,-46.623638577298145
1512,-23.55292030325788,-46.627547975015524
1516,-23.559392946274585,-46.63768411445943
1522,-23.57680568137229,-46.613476612556894
1525,-23.55381492423105,-46.63185822814356
1529,-23.559878503750912,-46.63056015889549
1530,-23.57195506855559,-46.61119233625707
1531,-23.5578330313636,-46.63200147835992
1534,-23.499281629753586,-46.6064044730798
1536,-23.507773731894478,-46.604324986669795
1537,-23.5149758170985,-46.61611264542107
1539,-23.499343251242088,-46.594273082919294
1541,-23.49794491534425,-46.60057802677599
1544,-23.494509702548108,-46.62263129773089
1545,-23.502275731509304,-46.6410225849926
1547,-23.50433565610809,-46.63613983810171
1548,-23.497998988343237,-46.59686207992386
1549,-23.503235899123997,-46.63832674543861
1550,-23.50090634270461,-46.635183387461424
1552,-23.493386242570296,-46.61742615681803
2011,-23.517997459345565,-46.612612775607346
2013,-23.50208426331109,-46.620351286554396
2016,-23.501333881210684,-46.59961328711986
2017,-23.50782672661436,-46.602081272548894
2018,-23.50274048987245,-46.636664133504475
2022,-23.512168739107853,-46.60869755606212
2028,-23.50762149708581,-46.56616243450284
2029,-23.52225971940101,-46.572678193865784
2030,-23.50999342946302,-46.59008865516283
2034,-23.520390861792297,-46.581929723411704
2035,-23.490100686652426,-46.5690870940908
2036,-23.510891829303517,-46.57999630864438
2037,-23.50841506855559,-46.5824562536788
2038,-23.48976286733221,-46.56935969248078
2040,-23.52290394644805,-46.5818040975819
2047,-23.51335483236194,-46.568773471146564
2050,-23.50799229892086,-46.575217069103864
2051,-23.480339500692484,-46.57586314071786
2053,-23.47311253205609,-46.57120847515726
2060,-23.485896712187646,-46.57282984762538
2066,-23.475335594783306,-46.5878543782965
2071,-23.483928666945573,-46.593978338882806
2072,-23.462201640025363,-46.57620489953253
2075,-23.479453812655105,-46.587250498470794
2076,-23.48850239522747,-46.60588198376569
2082,-23.47841294532288,-46.57009531418429
2110,-23.48956616625308,-46.58478137093889
2111,-23.46395666065983,-46.58181276710374
2112,-23.46130431196261,-46.58077234248948
2113,-23.479020649460434,-46.595466607276784
2116,-23.486468374689817,-46.591438185815704
2117,-23.47712035053957,-46.56688032361936
2118,-23.464760857060433,-46.5749870291419
2119,-23.476337235356933,-46.57058653774026
2120,-23.48520220649372,-46.57762914525189
2122,-23.485733455450426,-46.60463407146978
2124,-23.463362095475787,-46.59647161656762
2127,-23.435346102217693,-46.578029947038885
2128,-23.46846906633388,-46.59695126686478
2134,-23.44970789064575,-46.59674084624041
2150,-23.45045102415025,-46.59128115223039
2161,-23.45363137691151,-46.594856068699826
2167,-23.45649898251486,-46.62506020038664
2169,-23.470578827370282,-46.59822704648282
2185,-23.4391695186028,-46.57716862314935
2189,-23.449599649460435,-46.625823366639736
2206,-23.461348505135888,-46.61558140368749
2210,-23.450958188729892,-46.59800823258696
2214,-23.446005401610012,-46.585050852068775
2215,-23.44576351299392,-46.58323076811772
2220,-23.461348505135888,-46.61558140368749
2223,-23.47477257646144,-46.619048267701494
2225,-23.46786940520377,-46.59831520615875
2226,-23.45507897307979,-46.6146304782157
2229,-23.44371422537361,-46.59190440911184
2230,-23.429829475245015,-46.59294652605343
2231,-23.45004075437129,-46.61183303996195
2234,-23.47904097530149,-46.61905891840265
2236,-23.45433655176293,-46.631469410352594
2238,-23.463568528737863,-46.59893410075593
2241,-23.472482584511514,-46.605905559813
2242,-23.443722278485797,-46.575004751414546
2243,-23.45798296641469,-46.622838415488474
2245,-23.46030546835668,-46.613737237238205
2247,-23.471328226758594,-46.63407711587513
2250,-23.48117042353855,-46.65541513113858
2251,-23.47665338718329,-46.652072621011
2252,-23.480657601448396,-46.636674914796
2254,-23.495859063275475,-46.62914999278664
2255,-23.48544145268046,-46.641491664723866
2258,-23.48543370024241,-46.6289059196434
2261,-23.47436355314792,-46.66678392783771
2264,-23.48042788703907,-46.63135044601536
2265,-23.476561438802005,-46.626462351232064
2266,-23.49617079136361,-46.625930340775994
2268,-23.486294243118554,-46.62780417969884
2273,-23.47943747821568,-46.65287253136361
2274,-23.492479159587976,-46.63911981917597
2276,-23.4778129000808,-46.63586851901436
2279,-23.480184970858087,-46.64439758021234
2281,-23.490709351230826,-46.63446990671446
2285,-23.47232998306313,-46.65051421772755
2301,-23.472672286427393,-46.63739116861903
2306,-23.47570962392521,-46.64544514793121
2307,-23.47494926533555,-46.64572206786308
2308,-23.49187551012755,-46.637005159039724
2310,-23.48196202553522,-46.64112389064572
2311,-23.487149539650346,-46.62814596277024
2312,-23.47747537330483,-46.657062145449714
2316,-23.487338636824497,-46.65271806714485
2318,-23.50941428919733,-46.66469192048014
2320,-23.49824467055225,-46.675084866639736
2324,-23.50693952928613,-46.658142
2332,-23.51111159033989,-46.66621312865706
2334,-23.491051186796646,-46.66161726755725
2335,-23.495949524006015,-46.65907326449884
2336,-23.513784212331863,-46.66193749056496
2337,-23.50284477308609,-46.653092493234034
2341,-23.51252628781236,-46.65652459893825
2346,-23.50984806829579,-46.66369014308379
2350,-23.48071028198398,-46.658156646690465
2352,-23.500164205118512,-46.648185674158924
2357,-23.48823396725141,-46.65521894838129
2359,-23.500164205118512,-46.648185674158924
2362,-23.495279064526358,-46.65160733081654
2363,-23.503078529286128,-46.656971999999996
2366,-23.514613532892817,-46.65537015113387
2371,-23.50233051501402,-46.65835292379554
2372,-23.454517693317513,-46.668500884269115
2376,-23.459487034970284,-46.66644536441802
2401,-23.4600407282878,-46.65539449001668
2402,-23.46145164363204,-46.66015148320733
2403,-23.463510349154586,-46.65239483971954
2404,-23.46494976242137,-46.6630352134284
2405,-23.47396169608747,-46.658943496681786
2406,-23.47616877101971,-46.66882960436257
2407,-23.46314533580993,-46.656447363345784
2410,-23.485809164031377,-46.68889056841136
2411,-23.47462007937564,-46.67326959048411
2415,-23.49043234688168,-46.6843557527281
2421,-23.502140245080447,-46.679559118789314
2422,-23.477595024698488,-46.67611469095158
2432,-23.49713023079848,-46.679747873810975
2435,-23.48327563835193,-46.682976185123216
2436,-23.47828896834794,-46.67186538470179
2440,-23.494465445467103,-46.68390511809682
2441,-23.474432293929194,-46.667641553003705
2442,-23.502873478215683,-46.67775269608747
2443,-23.50560390452421,-46.68008335457893
2451,-23.492759543424395,-46.69382278282069
2452,-23.50058292115656,-46.688045613688594
2460,-23.502425262487964,-46.681645651986244
2461,-23.46987825229381,-46.66703295089145
2462,-23.45853541326677,-46.69319132653357
2465,-23.447037143487805,-46.69912348459234
2470,-23.47804548542905,-46.69342974271453
2472,-23.474470274770606,-46.68125349708581
2475,-23.479752572854753,-46.69703220483004
2510,-23.47456698029315,-46.6911517163426
2513,-23.745766444944557,-46.74960708954948
2515,-23.457540101304172,-46.701884965029706
2516,-23.48677294976627,-46.69405600222171
2517,-23.44306691199995,-46.70817499999998
2518,-23.48381025284207,-46.69528157314321
2519,-23.479245387731556,-46.687249696924184
2522,-23.47037980099833,-46.710369387183285
2523,-23.49277803497029,-46.70513170136758
2532,-23.49618261226844,-46.699141499999996
2534,-23.493235861503834,-46.701464704830045
2535,-23.44124874937963,-46.73743615958799
2537,-23.505121448347605,-46.69551388593207
2542,-23.49737360866177,-46.713797287812355
2543,-23.49397706717061,-46.701025738126894
2544,-23.473571992786642,-46.713902605055104
2545,-23.482781056205894,-46.727140288371324
2553,-23.47960401334677,-46.718147860813396
2555,-23.49076063113856,-46.71754848542904
2558,-23.48688033166945,-46.71979737982571
2562,-23.478955794621683,-46.711550671937246
2563,-23.501391475705525,-46.700816510416004
2565,-23.484585714773154,-46.70211960464514
2610,-23.44222992783773,-46.727473091176606
2611,-23.44062768720067,-46.72250811434592
2612,-23.476851597553267,-46.71072823535693
2614,-23.43052954794471,-46.73014294238546
2615,-23.451850498470783,-46.73061867958327
2634,-23.50463688121069,-46.70929730322004
2636,-23.529219496249087,-46.56087495045875
2649,-23.53909762003007,-46.59055256564138
2652,-23.53596472883607,-46.56487377462638
2671,-23.546628355819692,-46.6175866110277
2675,-23.530246910352588,-46.575652564920254
2710,-23.53899702801672,-46.572218769086454
2712,-23.537882536211036,-46.61784469900167
2721,-23.53322123703037,-46.61374176296961
2722,-23.540711008050078,-46.5846229797449
2725,-23.53208714293955,-46.57955243256958
2727,-23.538114869553922,-46.5936604417162
2728,-23.53802207216227,-46.578181394540884
2730,-23.53429973910785,-46.577972712476104
2734,-23.528100855675454,-46.55822429309247
2735,-23.530293115182623,-46.57571141286274
2736,-23.53991729058232,-46.61117855912053
2737,-23.529689225085143,-46.56608044976628
2739,-23.544253812655093,-46.60042004954124
2750,-23.531295206763282,-46.577567891482445
2751,-23.537582999999998,-46.57281001442671
2752,-23.534896117952595,-46.573249058716485
2755,-23.535766707744244,-46.577952623780966
2758,-23.532769174562965,-46.55586687927743
2763,-23.53144987232389,-46.56252363875596
2765,-23.53326500028845,-46.562745551214675
2801,-23.55807230611681,-46.60586586856825
2802,-23.57313898306312,-46.58843115944374
2804,-23.55194639974577,-46.5959258641528
2805,-23.563330410086504,-46.594228230740384
2807,-23.581349161261425,-46.56600724493623
2808,-23.585782672773966,-46.582892596312504
