payment_installments,payment_sequential,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_type,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
1.0,1.0,432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,2018-03-01 14:14:28,2018-03-01 15:10:47,2018-03-02 21:09:20,2018-03-12 23:36:26,2018-03-21,1.0,72d3bf1d3a790f8874096fcf860e3eff,0bae85eb84b9fb3bd773911e89288d54,2018-03-07 15:10:47,38.25,16.11,credit_card,54.36,8f39f09c22b1ceb6e3eb178d8e50bb8a,4.0,,Gostei do produto,2018-03-13 00:00:00,2018-03-14 10:36:16
1.0,1.0,b52cc4919de82b4d696a4380d10804a3,be8c14c16a4d47194ccdfe10f1fc5b1a,delivered,2018-06-13 13:47:39,2018-06-15 02:37:29,2018-06-15 14:22:00,2018-06-18 22:32:44,2018-06-26,1.0,7564c1759c04fc0a38f2aa84f7a370ee,6860153b69cc696d5dcfe1cdaaafcf62,2018-06-19 02:30:26,42.99,12.03,boleto,55.02,b1dafcdfcddb6feb75222b9c1f2baad3,5.0,,,2018-06-19 00:00:00,2018-06-20 11:07:14
1.0,1.0,82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,delivered,2017-04-20 17:15:46,2017-04-21 05:15:56,2017-04-24 09:34:13,2017-05-10 09:17:55,2017-05-12,1.0,a5a0e71a81ae65aa335e71c06261e260,c8417879a15366a17c30af34c798c332,2017-04-27 05:15:56,38.0,15.56,boleto,267.8,fd793fea4f4a2ddcc956561144b6c04e,1.0,,,2017-05-11 00:00:00,2017-05-12 11:25:49
1.0,1.0,82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,delivered,2017-04-20 17:15:46,2017-04-21 05:15:56,2017-04-24 09:34:13,2017-05-10 09:17:55,2017-05-12,2.0,a5a0e71a81ae65aa335e71c06261e260,c8417879a15366a17c30af34c798c332,2017-04-27 05:15:56,38.0,15.56,boleto,267.8,fd793fea4f4a2ddcc956561144b6c04e,1.0,,,2017-05-11 00:00:00,2017-05-12 11:25:49
1.0,1.0,634e8f4c0f6744a626f77f39770ac6aa,05e996469a2bf9559c7122b87e156724,delivered,2017-08-09 18:32:47,2017-08-09 18:45:18,2017-08-10 20:21:53,2017-08-16 18:17:54,2017-08-31,1.0,69d980b4120a76616d7b237d731d6156,744dac408745240a2c2528fb1b6028f3,2017-08-15 18:45:18,219.0,15.28,credit_card,7.08,7b66de927426b71a817aa36df5e8a0b3,1.0,,Muito bom o produto e preço cobrado!,2017-08-17 00:00:00,2017-08-17 23:36:23
1.0,1.0,6d25592267349b322799e2beb687871e,5bb39c890c91b1d26801aa19a9336eac,delivered,2018-08-26 22:04:34,2018-08-28 04:10:18,2018-08-28 12:56:00,2018-08-29 12:40:53,2018-08-30,1.0,c3ba4e8d3cb30049213b682e751e9d00,6560211a19b47992c3666cc44a7e94c0,2018-08-30 04:10:18,93.0,7.91,boleto,201.82,914da4c2875eeb6dd3f1eba3539e73ca,4.0,,,2018-08-30 00:00:00,2018-09-03 18:26:07
1.0,1.0,a5474c0071dd5d1074e12d417078bbd0,ef15b3240b2083e0487762ee2978d2b8,delivered,2018-07-30 22:41:44,2018-08-01 02:50:15,2018-08-02 10:35:00,2018-08-03 19:28:47,2018-08-02,1.0,1f75be631e988bb0ad750e60e18d043b,fd386aa7bed2af3c7035c65506c9b4a3,2018-08-03 02:50:15,13.99,7.39,boleto,21.38,ef45857b2a4924df76832d06cca3231d,5.0,Ótimo,Chegou antes do prazo e o produto é exatamente pedido o que eu queria,2018-08-04 00:00:00,2018-08-06 12:41:29
5.0,1.0,01a75ac3dd000b7628a684be97c29234,57ee2ef64f17a5f9a4bf30489b06326c,delivered,2018-01-23 10:32:39,2018-01-23 10:59:10,2018-01-26 19:12:26,2018-02-07 14:59:03,2018-02-21,1.0,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,2018-01-29 10:59:10,42.9,15.1,credit_card,58.0,c3a9c486f5d88c848407644135b9c807,1.0,,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,2018-02-08 00:00:00,2018-02-08 21:13:41
3.0,1.0,4b87488fb6269f8321508923b95da4d6,e42998ccffc48dc87bf70b37e2d61f33,delivered,2018-06-08 12:19:58,2018-06-08 12:37:01,2018-06-11 08:23:00,2018-06-15 20:58:47,2018-07-05,1.0,ed739dfa91e2c770354726fe0bf9cc72,57df9869a600bd6b7c405f2a862eccfb,2018-06-15 12:30:36,25.0,13.47,credit_card,38.47,b4722acf07ffc2ebf10df6d3ce9089c1,5.0,,eu adorei... e é uma gracinha... estava doida p chegar..é um produto de otima qualidade,2018-06-16 00:00:00,2018-06-20 15:28:28
1.0,1.0,86b37610c0e86e94afe3d5ba4b73fa14,86ff82570097f39b2193254f540e4a69,delivered,2017-11-17 21:14:42,2017-11-22 02:49:29,2017-11-22 17:37:09,2017-12-05 20:23:33,2017-12-20,2.0,1e56c680b07833e85fec6904b2c7e4b8,f789d2c4f2c2eb38fc4373e7a4b35264,2017-11-28 02:49:29,59.99,25.66,boleto,161.3,cabb6455f081b4fe0431781cd66ddd84,5.0,,,2017-12-06 00:00:00,2017-12-16 00:04:48
