product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
72d3bf1d3a790f8874096fcf860e3eff,toys,57.0,341.0,2.0,583.0,20.0,21.0,20.0
60184212dae4e6b0da32bf54271a8c4a,watches_gifts,59.0,476.0,2.0,394.0,17.0,11.0,14.0
7564c1759c04fc0a38f2aa84f7a370ee,construction_tools_construction,59.0,2432.0,3.0,1200.0,16.0,11.0,11.0
a5a0e71a81ae65aa335e71c06261e260,housewares,57.0,698.0,3.0,705.0,34.0,22.0,28.0
69d980b4120a76616d7b237d731d6156,watches_gifts,60.0,1362.0,3.0,600.0,16.0,11.0,12.0
c3ba4e8d3cb30049213b682e751e9d00,watches_gifts,58.0,737.0,3.0,350.0,16.0,2.0,20.0
1f75be631e988bb0ad750e60e18d043b,health_beauty,29.0,378.0,2.0,200.0,25.0,10.0,15.0
1522589c64efd46731d3522568e5bc83,christmas_supplies,35.0,415.0,4.0,550.0,37.0,10.0,37.0
b5c114b11d53b6fd85a6a90790f0b479,housewares,30.0,678.0,3.0,267.0,24.0,15.0,12.0
ed739dfa91e2c770354726fe0bf9cc72,housewares,48.0,798.0,6.0,250.0,22.0,5.0,14.0
1e56c680b07833e85fec6904b2c7e4b8,pet_shop,58.0,502.0,4.0,200.0,27.0,9.0,26.0
83b00325c13c44245b2c3a2befa62a0e,baby,56.0,621.0,1.0,10700.0,40.0,40.0,40.0
a50acd33ba7a8da8e9db65094fa990a4,auto,53.0,555.0,1.0,4105.0,67.0,10.0,67.0
1b88c133317c3f2b8c53b6048f2dc8b6,bed_bath_table,52.0,729.0,1.0,6200.0,20.0,30.0,30.0
4d071a22b9cc548b64a75075a4c63151,home_appliances,35.0,342.0,3.0,750.0,22.0,7.0,22.0
e7db7c40ea6647c808d48581f1308d88,baby,59.0,235.0,2.0,9400.0,75.0,15.0,50.0
952670bc019a73f0933157ec82ff6e4f,bed_bath_table,46.0,162.0,5.0,3300.0,60.0,18.0,50.0
1613b819ab5dae53aead2dbb4ebdb378,auto,60.0,982.0,2.0,50.0,17.0,10.0,15.0
330286b1345b8cc5abfbb74da93465a6,sports_leisure,51.0,1097.0,5.0,2800.0,56.0,28.0,33.0
f1f01d27cb8664e16d57ef4a8075f3be,sports_leisure,57.0,615.0,2.0,4175.0,31.0,33.0,27.0
f40876e0ef3cd5f9132b1f16b04b1346,health_beauty,42.0,250.0,1.0,427.0,15.0,17.0,14.0
6f9771652ad5ec58e58f50475d6bfe0e,furniture_decor,58.0,288.0,3.0,1200.0,39.0,30.0,39.0
fb92dc4602bd9224e0e267496748afc5,watches_gifts,28.0,243.0,1.0,475.0,21.0,14.0,19.0
99a4788cb24856965c36a24e339b6058,bed_bath_table,54.0,245.0,1.0,1383.0,50.0,10.0,40.0
99ba5fbf3ae895fe3a9289acd0a5eb91,telephony,55.0,419.0,3.0,150.0,17.0,8.0,14.0
4f84ff0aab6b53675317e34f2406ea99,health_beauty,40.0,659.0,1.0,250.0,25.0,15.0,20.0
da023890ca0515244ea89dc905faceba,auto,47.0,348.0,1.0,300.0,20.0,16.0,19.0
b4bcc9155de9c60e343ecbff22b86dc8,cool_stuff,51.0,1141.0,4.0,393.0,17.0,7.0,14.0
306599a052830af3cfebe42ee7a79dde,housewares,54.0,354.0,1.0,1250.0,30.0,30.0,30.0
c985e917daf44dfe2779833209017098,housewares,55.0,882.0,1.0,200.0,19.0,5.0,25.0
b573e2860f2732edf610345956e81bb9,computers_accessories,43.0,520.0,1.0,850.0,38.0,11.0,13.0
b6e352d888ba31d8999af279cd63aa24,housewares,42.0,337.0,2.0,1225.0,27.0,26.0,26.0
22a8168cf1f1c6347da8d29863b7f75e,consoles_games,53.0,2013.0,4.0,155.0,16.0,7.0,14.0
d899e614656fe7bddd577dcfe583d19c,auto,56.0,893.0,3.0,100.0,24.0,2.0,17.0
0900e9b18da6627157a7e47a8ac8fc08,watches_gifts,56.0,179.0,3.0,200.0,16.0,2.0,20.0
4011494d902f1075a502ffe9432186b3,musical_instruments,59.0,557.0,1.0,650.0,20.0,20.0,20.0
d3e1006ba3735c0d44160026b6e0ced3,auto,53.0,2805.0,3.0,1850.0,19.0,16.0,17.0
6c4d1dce076249f2314ac8f3fc3cc7d1,sports_leisure,56.0,2361.0,9.0,350.0,16.0,2.0,20.0
75d6b6963340c6063f7f4cfcccfe6a30,perfumery,51.0,999.0,2.0,400.0,18.0,11.0,20.0
aed75ad669fbebd5a385ac7cc2ae7573,health_beauty,42.0,427.0,1.0,30000.0,50.0,75.0,56.0
8988d11aace15e3c9e25763c6d87dcf5,fashion_male_clothing,23.0,183.0,1.0,200.0,19.0,27.0,27.0
88a1223b29fac4c3abef8d1369dbbaea,cine_photo,63.0,677.0,7.0,5500.0,25.0,32.0,47.0
5554c5718f820a868853dbc5ca859b3b,sports_leisure,40.0,595.0,1.0,3100.0,19.0,19.0,11.0
f999580a69ce2d199677c5b6a5472aee,auto,55.0,2310.0,1.0,1150.0,16.0,25.0,12.0
ed2067a9c1f79553088a3c67b99a9f97,food,52.0,919.0,1.0,750.0,16.0,12.0,15.0
de533fe5b9448ea9792195806938dbf5,furniture_decor,51.0,676.0,1.0,1650.0,35.0,23.0,35.0
f7e0fa615b386bc9a8b9eb52bc1fff76,computers_accessories,59.0,2574.0,1.0,325.0,21.0,21.0,21.0
9036be77e0a74cca6eeef0740649b97b,toys,57.0,697.0,3.0,405.0,21.0,7.0,15.0
00d2add85b1f5aba6bb3d5d977314e25,home_construction,60.0,935.0,1.0,9050.0,56.0,26.0,28.0
c063e7cfa2a5277de17cde1837399dc5,furniture_decor,52.0,1500.0,3.0,2600.0,105.0,3.0,70.0
2c4930c4b284c7b99db2a4c52071a45e,furniture_decor,55.0,264.0,1.0,9050.0,35.0,30.0,35.0
15ae68f4be12b1e7037da33a1ef9753a,home_confort,58.0,216.0,3.0,7600.0,50.0,30.0,40.0
4a1ccd2d546bbea7809a0cf98863eb50,luggage_accessories,43.0,1480.0,5.0,900.0,25.0,50.0,30.0
88bcd4cc43e257bf69ac62b2540f1c14,watches_gifts,55.0,384.0,1.0,450.0,25.0,10.0,25.0
643a66b1dc5dad3de6cb5a41549e72f1,home_construction,51.0,1558.0,2.0,300.0,27.0,8.0,21.0
35c4a5bb0f191b77c8900661f047250b,sports_leisure,33.0,186.0,1.0,1013.0,23.0,26.0,15.0
c5841303f830680eb1cdda8be0ff35bf,stationery,33.0,691.0,2.0,250.0,27.0,3.0,11.0
0521fe3eb04940304b489d0fb49a37dd,garden_tools,58.0,686.0,1.0,1450.0,90.0,6.0,18.0
b935c4a30d29406e3633e74b9b887307,bed_bath_table,44.0,232.0,1.0,2200.0,38.0,7.0,31.0
0f0c4960b05d6145bbb4b348423503ef,electronics,32.0,139.0,3.0,1700.0,32.0,5.0,26.0
66a0a6e02b7f543e5b021ce361f267d4,cool_stuff,45.0,798.0,1.0,1500.0,50.0,40.0,30.0
52690beab08122aee391378fbf246a58,cool_stuff,60.0,813.0,3.0,650.0,16.0,7.0,12.0
a9ccb9dca11ae8ca804b47417d0411f2,housewares,46.0,1021.0,1.0,8600.0,45.0,35.0,35.0
b5e6d813290cd06e3015f41d246512e7,stationery,32.0,137.0,1.0,250.0,23.0,11.0,13.0
4fe644d766c7566dbc46fb851363cb3b,art,48.0,1232.0,1.0,1700.0,65.0,6.0,50.0
88ffcf27478318ba55b1f9d22d65ce97,construction_tools_safety,53.0,246.0,1.0,600.0,25.0,31.0,25.0
4633dfeb3a2588bdb52af32d504b44eb,fixed_telephony,46.0,218.0,4.0,150.0,16.0,4.0,11.0
